20,29,42,43,49
10,11,29,31,48
08,15,18,32,34
10,27,30,40,41
06,16,30,38,41
18,23,31,39,49
08,09,17,27,30
12,13,15,27,48
04,09,10,18,20
06,11,23,33,50
11,17,23,24,35
01,06,11,15,47
01,02,11,25,34
01,38,40,46,50
06,12,20,27,29
01,16,29,33,46
02,36,37,41,47
01,18,22,25,28
22,28,42,44,45
07,19,28,42,46
12,22,31,43,47
18,19,27,29,32
06,19,34,38,45
04,17,25,38,49
12,23,31,39,45
06,09,17,30,48
10,11,13,35,47
03,07,20,42,45
01,20,33,44,46
18,25,34,43,44
23,35,37,45,47
07,17,19,33,37
05,07,30,31,35
05,11,14,26,50
05,17,19,26,46
04,16,40,45,49
02,06,09,25,47
06,17,20,26,37
14,17,19,25,41
10,20,31,39,40
